,Year,Province,Average Pop,Average Pop (Male),Average Pop (Female),Average Pop (Urban),Average Pop (Rural),Population Density,Sex Ratio,Ageging Index,Fertility Rate,Crude Birth Rate,Life Expectency
974,2007,Quang  Nam,1413.9,684.6,729.3,251.4,1162.5,,93.9,,2.32,17.6,
975,2008,Quang  Nam,1417.8,689,728.8,257.9,1159.9,,94.5,,2.12,15.4,
976,2009,Quang  Nam,1423,693.3,729.7,264,1159,,95.0,,2.3,16.7,
977,2010,Quang  Nam,1429.72,697.01,732.71,270.03,1159.69,,95.13,,2.27,17.8,
978,2011,Quang  Nam,1436.83,701.28,735.55,273.21,1163.62,138.21,95.34,,2.16,16.8,
979,2012,Quang  Nam,1443.98,705.61,738.37,276.54,1167.44,139.19,95.56,,2.35,19.1,
980,2013,Quang  Nam,1451.37,710.09,741.28,279.85,1171.52,140.17,95.79,,2.65,20.5,
981,2014,Quang  Nam,1459.79,714.72,745.07,283.46,1176.33,141.0,95.93,,2.27,16.7,
982,2015,Quang  Nam,1468.2,719.4,748.7,359.9,1108.3,142.0,96.1,,2.17,15.7,
983,2016,Quang  Nam,1475.7,724,751.7,363.9,1111.8,141.0,96.3,61.6,2.16,15.6,
984,2017,Quang  Nam,1483.3,728.5,754.8,368.4,1114.9,141.0,96.5,67.9,2.26,15.2,
985,2018,Quang  Nam,1490.8,732.8,757.9,373.1,1117.7,142.0,96.7,66.8,2.28,15.7,
986,2019,Quang  Nam,1497.5,736.5,760.9,379.6,1117.8,142.0,96.8,60.1,2.27,16.2,
987,2020,Quang  Nam,1505.04,740.36,764.69,396.2,1108.84,142.0,96.82,59.4,2.23,16.19,
988,1995,Quang  Ngai,1149,559.5,589.5,110.8,1038.2,,,,,,
989,1996,Quang  Ngai,1159.7,565.1,594.6,115,1044.7,,,,,,
990,1997,Quang  Ngai,1170.4,570.5,599.9,121.5,1048.9,,,,,,
991,1998,Quang  Ngai,1181.4,576.4,605,126.1,1055.3,,,,,,
992,1999,Quang  Ngai,1191.9,581.2,610.7,132,1059.9,,,,,,
993,2000,Quang  Ngai,1194.3,582.9,611.4,134.1,1060.2,,,,,,
994,2001,Quang  Ngai,1197.8,584.7,613.1,136.5,1061.3,,,,,,
995,2002,Quang  Ngai,1200.6,586.4,614.2,153.6,1047,,,,,,
996,2003,Quang  Ngai,1203.2,587.9,615.3,169.8,1033.4,,,,,,
997,2004,Quang  Ngai,1206.5,589.7,616.8,171.3,1035.2,,,,,,
998,2005,Quang  Ngai,1210.0,592.1,617.9,173.0,1037.0,,95.8,,2.21,18.2,
999,2006,Quang  Ngai,1212.6,594.2,618.4,174.1,1038.5,,,,,,
1000,2007,Quang  Ngai,1214.8,596.1,618.7,175.6,1039.2,,96.3,,2.11,16.5,
1001,2008,Quang  Ngai,1217,598.5,618.5,177.3,1039.7,,96.8,,2.18,15.5,
1002,2009,Quang  Ngai,1217.2,600,617.2,178,1039.2,,97.2,,2.09,15.8,
1003,2010,Quang  Ngai,1218.7,600.96,617.74,180.23,1038.47,,97.28,,2.11,17.1,
1004,2011,Quang  Ngai,1220.12,601.9,618.21,182.48,1037.64,237.76,97.36,,2.21,17.3,
1005,2012,Quang  Ngai,1221.83,602.84,618.99,184.79,1037.04,238.66,97.39,,2.13,17,
1006,2013,Quang  Ngai,1223.05,603.59,619.46,187.06,1035.99,239.97,97.44,,2.45,19.2,
1007,2014,Quang  Ngai,1224.52,604.54,619.98,189.4,1035.12,241.0,97.51,,2.01,15.6,
1008,2015,Quang  Ngai,1226.2,605.5,620.7,191.8,1034.4,242.0,97.5,,1.93,13.5,
1009,2016,Quang  Ngai,1227.5,606.2,621.2,194.2,1033.3,243.0,97.6,73.5,1.98,13.8,
1010,2017,Quang  Ngai,1228.9,607.2,621.8,196.6,1032.4,245.0,97.7,67.8,1.79,12,
1011,2018,Quang  Ngai,1230.5,608.2,622.4,199.1,1031.5,247.0,97.7,69.8,2.06,13.6,
1012,2019,Quang  Ngai,1231.9,608.9,623,201.5,1030.4,239.0,97.75,61.0,2.13,15,
1013,2020,Quang  Ngai,1233.4,609.7,623.7,260.18,973.21,239.0,97.76,62.7,2.11,14.95,
1014,1995,Binh Dinh,1394.4,676.2,718.2,262.4,1132,,,,,,
1015,1996,Binh Dinh,1412.7,685.5,727.2,268.2,1144.5,,,,,,
1016,1997,Binh Dinh,1431.3,694.8,736.5,279.2,1152.1,,,,,,
1017,1998,Binh Dinh,1449.6,704.3,745.3,344.4,1105.2,,,,,,
1018,1999,Binh Dinh,1465.2,711.5,753.7,353.1,1112.1,,,,,,
1019,2000,Binh Dinh,1466.1,711.6,754.5,355,1111.1,,,,,,
1020,2001,Binh Dinh,1468.4,712.7,755.7,361,1107.4,,,,,,
1021,2002,Binh Dinh,1470.7,713.9,756.8,367.1,1103.6,,,,,,
1022,2003,Binh Dinh,1473.1,715.4,757.7,373.4,1099.7,,,,,,
1023,2004,Binh Dinh,1475.5,718.7,756.8,379.7,1095.8,,,,,,
1024,2005,Binh Dinh,1477.8,719.8,758.0,386.2,1091.6,,95.0,,2.25,18.7,
1025,2006,Binh Dinh,1480.1,720.9,759.2,392.7,1087.4,,,,,,
1026,2007,Binh Dinh,1482.3,722.8,759.5,399.4,1082.9,,95.2,,2.17,16.6,
1027,2008,Binh Dinh,1485.6,725.3,760.3,406.5,1079.1,,95.4,,2.09,15.4,
1028,2009,Binh Dinh,1487.4,725.1,762.3,412.5,1074.9,,95.1,,2.22,16.7,
1029,2010,Binh Dinh,1487.42,725.54,761.89,415.74,1071.68,,95.23,,2.17,16.3,
1030,2011,Binh Dinh,1487.46,726.15,761.31,418.95,1068.51,247.61,95.38,,2.28,16.7,
1031,2012,Binh Dinh,1487.51,726.4,761.11,467.51,1020,248.31,95.44,,2.26,15.9,
1032,2013,Binh Dinh,1487.55,726.14,761.41,468.86,1018.69,249.45,95.37,,2.55,17.6,
1033,2014,Binh Dinh,1487.6,726,761.6,470.22,1017.38,250.0,95.32,,2.29,16.3,
1034,2015,Binh Dinh,1487.6,726.9,760.8,471.5,1016.1,251.0,95.5,,2.14,13.9,
1035,2016,Binh Dinh,1487.7,727.8,759.9,472.9,1014.8,251.0,95.8,61.5,2,13,
1036,2017,Binh Dinh,1487.7,729.1,758.7,474.2,1013.5,252.0,96.1,68.5,2.09,12.8,
1037,2018,Binh Dinh,1487.8,730.7,757.1,475.5,1012.2,253.0,96.5,72.8,2.3,13.9,
1038,2019,Binh Dinh,1487.8,732.7,755.1,476.8,1011,245.0,97.03,60.1,2.2,14.5,
1039,2020,Binh Dinh,1487.9,732.81,755.1,599.85,888.05,245.0,97.05,57.6,2.24,15.1,
1040,1995,Phu Yen,740.3,365.8,374.5,135.3,605,,,,,,
1041,1996,Phu Yen,752.3,372.1,380.2,137.9,614.4,,,,,,
1042,1997,Phu Yen,764.4,378.3,386.1,143.2,621.2,,,,,,
1043,1998,Phu Yen,777.1,385.1,392,145.9,631.2,,,,,,
1044,1999,Phu Yen,790.5,391.6,398.9,150.2,640.3,,,,,,
1045,2000,Phu Yen,799.6,396,403.6,151.9,647.7,,,,,,
1046,2001,Phu Yen,808.4,400.3,408.1,156,652.4,,,,,,
1047,2002,Phu Yen,816.8,404.5,412.3,160.1,656.7,,,,,,
1048,2003,Phu Yen,824.8,408.6,416.2,164.2,660.6,,,,,,
1049,2004,Phu Yen,832.0,412.9,419.1,168.3,663.7,,,,,,
1050,2005,Phu Yen,838.2,415.2,423.0,172.2,666.0,,98.2,,2.25,19.3,
1051,2006,Phu Yen,844.3,420.0,424.3,176.2,668.1,,,,,,
1052,2007,Phu Yen,850.3,422.0,428.3,180.2,670.1,,98.5,,2.18,18.0,
1053,2008,Phu Yen,856.7,427.1,429.6,184.5,672.2,,99.4,,2.32,18.4,
1054,2009,Phu Yen,862.4,431.6,430.8,198.8,663.6,,100.2,,1.96,15.9,
1055,2010,Phu Yen,863.15,432.23,430.91,199.38,663.77,,100.31,,1.98,15.9,
1056,2011,Phu Yen,863.96,432.86,431.1,199.83,664.14,171.92,100.41,,2.11,16.4,
1057,2012,Phu Yen,864.87,433.71,431.16,200.2,664.67,173.12,100.59,,2.07,15.9,
1058,2013,Phu Yen,865.28,434.06,431.22,200.39,664.89,174.29,100.66,,2.04,15.4,
1059,2014,Phu Yen,865.67,434.37,431.3,247.98,617.69,175.0,100.71,,2.15,15.7,
1060,2015,Phu Yen,866.2,434.8,431.3,248.2,618,177.0,100.8,,2.05,14.4,
1061,2016,Phu Yen,868.2,436.1,432.1,249.3,618.8,179.0,100.9,50.5,2.26,15.9,
1062,2017,Phu Yen,870,437.2,432.8,249.9,620.2,180.0,101.0,52.4,2.04,13.6,
1063,2018,Phu Yen,871.5,438.2,433.3,250.5,621,181.0,101.1,57.2,2.16,14.4,
1064,2019,Phu Yen,873.2,439.2,433.9,251,622.2,174.0,101.22,49.4,2.11,13.9,
1065,2020,Phu Yen,874.3,439.7,434.59,285.9,588.39,174.0,101.18,56.3,2.09,14.65,
1066,1995,Khanh  Hoa,959.4,473.6,485.8,345.7,613.7,,,,,,
1067,1996,Khanh  Hoa,978,483.3,494.7,351,627,,,,,,
1068,1997,Khanh  Hoa,996.7,492.8,503.9,362.9,633.8,,,,,,
1069,1998,Khanh  Hoa,1016.2,503,513.2,368.2,648,,,,,,
1070,1999,Khanh  Hoa,1034.9,512.1,522.8,377,657.9,,,,,,
1071,2000,Khanh  Hoa,1049.6,519.1,530.5,385.9,663.7,,,,,,
1072,2001,Khanh  Hoa,1063.8,526.2,537.6,394.5,669.3,,,,,,
1073,2002,Khanh  Hoa,1077.2,532.8,544.4,402.9,674.3,,,,,,
1074,2003,Khanh  Hoa,1091.1,539.9,551.2,411.6,679.5,,,,,,
1075,2004,Khanh  Hoa,1104.0,548.1,555.9,420.1,683.9,,,,,,
1076,2005,Khanh  Hoa,1115.0,552.6,562.4,427.9,687.1,,98.3,,2.12,18.2,
1077,2006,Khanh  Hoa,1125.2,558.7,566.5,435.5,689.7,,,,,,
1078,2007,Khanh  Hoa,1137.5,564.7,572.8,444.0,693.5,,98.6,,2.14,17.5,
1079,2008,Khanh  Hoa,1149.3,570.4,578.9,452.5,696.8,,98.5,,2.18,17.3,
1080,2009,Khanh  Hoa,1158.2,571.9,586.3,461,697.2,,97.5,,2.04,17.1,
1081,2010,Khanh  Hoa,1161.95,574.22,587.73,465.27,696.68,,97.7,,2.06,16.7,
1082,2011,Khanh  Hoa,1170.24,578.76,591.48,471.44,698.8,224.51,97.85,,1.93,15.3,
1083,2012,Khanh  Hoa,1177.6,583.3,594.31,477.69,699.91,226.17,98.15,,2.04,16.4,
1084,2013,Khanh  Hoa,1184.92,588.26,596.66,483.1,701.81,227.76,98.59,,2.04,16.2,
1085,2014,Khanh  Hoa,1192.15,590.96,601.19,489.09,703.06,229.0,98.3,,1.65,12.8,
1086,2015,Khanh  Hoa,1198.4,594.5,603.9,494.6,703.8,231.0,98.4,,1.75,13.6,
1087,2016,Khanh  Hoa,1207.2,599.3,607.8,501.5,705.7,236.0,98.6,51.0,1.75,13.3,
1088,2017,Khanh  Hoa,1216.3,604.3,612,508.2,708.1,238.0,98.8,53.4,1.64,12.7,
1089,2018,Khanh  Hoa,1224.5,608.9,615.6,514.7,709.8,240.0,98.9,63.6,1.4,10.6,
1090,2019,Khanh  Hoa,1232.8,613.5,619.4,521.3,711.5,240.0,99.05,48.7,1.77,13.6,
1091,2020,Khanh  Hoa,1240.44,617.7,622.74,525.87,714.56,241.0,99.19,50.3,1.81,14.49,
1092,1995,Ninh  Thuan,466.5,230.1,236.4,103.1,363.4,,,,,,
1093,1996,Ninh  Thuan,476.6,235.2,241.4,106.5,370.1,,,,,,
1094,1997,Ninh  Thuan,487.1,240.4,246.7,112,375.1,,,,,,
1095,1998,Ninh  Thuan,497.7,245.8,251.9,115.7,382,,,,,,
1096,1999,Ninh  Thuan,507.4,250.3,257.1,120.4,387,,,,,,
1097,2000,Ninh  Thuan,516.7,254.8,261.9,126.9,389.8,,,,,,
1098,2001,Ninh  Thuan,525.8,259.3,266.5,134.8,391,,,,,,
1099,2002,Ninh  Thuan,532.5,262.6,269.9,146.7,385.8,,,,,,
1100,2003,Ninh  Thuan,538.2,265.5,272.7,150.3,387.9,,,,,,
1101,2004,Ninh  Thuan,543.5,268.8,274.7,158.5,385.0,,,,,,
1102,2005,Ninh  Thuan,547.9,270.4,277.5,166.8,381.1,,97.4,,2.53,20.6,
1103,2006,Ninh  Thuan,551.4,272.7,278.7,175.2,376.2,,,,,,
1104,2007,Ninh  Thuan,555.8,274.9,280.9,184.3,371.5,,97.9,,2.28,17.7,
1105,2008,Ninh  Thuan,560.7,278.4,282.3,202.6,358.1,,98.6,,2.24,16.8,
1106,2009,Ninh  Thuan,565.8,282,283.8,204.1,361.7,,99.4,,2.4,19.2,
1107,2010,Ninh  Thuan,566.87,282.69,284.18,204.28,362.59,,99.47,,2.42,19.1,
1108,2011,Ninh  Thuan,567.85,283.35,284.5,204.46,363.4,170.95,99.59,,2.38,18.8,
1109,2012,Ninh  Thuan,571.31,285.25,286.06,205.52,365.79,172.53,99.72,,2.25,17.5,
1110,2013,Ninh  Thuan,573.28,286.41,286.88,206.05,367.23,174.17,99.84,,2.37,18.2,
1111,2014,Ninh  Thuan,575.42,287.65,287.77,206.64,368.79,176.0,99.96,,2.18,17.4,
1112,2015,Ninh  Thuan,578.3,289.3,289,207.5,370.8,177.0,100.1,,2.23,16.7,
1113,2016,Ninh  Thuan,581.5,291,290.5,208.4,373.1,179.0,100.2,36.4,2.28,17.2,
1114,2017,Ninh  Thuan,585.4,293.2,292.2,209.6,375.7,181.0,100.3,37.0,2.34,17.6,
1115,2018,Ninh  Thuan,588.9,295.1,293.8,210.7,378.1,182.0,100.4,39.0,2.05,14.8,
1116,2019,Ninh  Thuan,591,296.4,294.7,211.3,379.7,176.0,100.57,35.3,2.09,15.5,
1117,2020,Ninh  Thuan,593.64,299.88,293.76,209.6,384.05,177.0,102.08,35.6,2.07,15.69,
1118,1995,Binh Thuan,951.7,472.8,478.9,221.3,730.4,,,,,,
1119,1996,Binh Thuan,976.2,485.8,490.4,226,750.2,,,,,,
1120,1997,Binh Thuan,1001.1,498.8,502.3,235.1,766,,,,,,
1121,1998,Binh Thuan,1027,512.5,514.5,240,787,,,,,,
1122,1999,Binh Thuan,1050.9,524.6,526.3,246.9,804,,,,,,
1123,2000,Binh Thuan,1063.9,530.9,533,332,731.9,,,,,,
1124,2001,Binh Thuan,1078,537.9,540.1,345.2,732.8,,,,,,
1125,2002,Binh Thuan,1093.4,545.5,547.9,359.3,734.1,,,,,,
1126,2003,Binh Thuan,1108.6,553.4,555.2,373.9,734.7,,,,,,
1127,2004,Binh Thuan,1122.2,559.7,562.5,388.4,733.8,,,,,,
1128,2005,Binh Thuan,1133.3,564.4,568.9,402.6,730.7,,99.2,,2.38,19.0,
1129,2006,Binh Thuan,1142.1,569.6,572.5,416.3,725.8,,,,,,
1130,2007,Binh Thuan,1151.9,574.5,577.4,430.9,721.0,,99.5,,2.4,18.9,
1131,2008,Binh Thuan,1162,583.4,578.6,446.1,715.9,,100.8,,2.38,18.9,
1132,2009,Binh Thuan,1169.4,585.7,583.7,459.5,709.9,,100.3,,2.07,16.6,
1133,2010,Binh Thuan,1174.71,588.49,586.22,460.1,714.61,,100.39,,2.09,16.8,
1134,2011,Binh Thuan,1180.68,591.67,589,461,719.68,151.61,100.45,,2.14,16.9,
1135,2012,Binh Thuan,1189.59,596.34,593.25,463.03,726.56,152.52,100.52,,2.39,18.3,
1136,2013,Binh Thuan,1194.66,599.08,595.58,463.56,731.11,153.53,100.59,,2.15,16.1,
1137,2014,Binh Thuan,1197.26,600.58,596.68,464.12,733.14,155.0,100.65,,1.57,12.7,
1138,2015,Binh Thuan,1205.4,604.9,600.6,464.8,740.6,156.0,100.7,,2.04,15.4,
1139,2016,Binh Thuan,1213.6,609.2,604.4,466.5,747.1,154.0,100.8,41.3,1.81,13.9,
1140,2017,Binh Thuan,1220.5,612.8,607.6,467.7,752.8,155.0,100.9,42.0,1.75,12.7,
1141,2018,Binh Thuan,1227.3,616.5,610.8,468.8,758.4,156.0,100.9,47.8,1.82,13.6,
1142,2019,Binh Thuan,1232.3,619.2,613.1,469.3,763,155.0,100.99,41.1,1.91,14.6,
1143,2020,Binh Thuan,1239.26,623.1,616.15,472.14,767.12,156.0,101.13,43.7,1.96,11.86,
1144,1995,Central Highlands,3384.8,1708.2,1676.6,820.5,2564.3,,,,,,
1145,1996,Central Highlands,3563,1797.7,1765.3,877.8,2685.2,,,,,,
1146,1997,Central Highlands,3743.1,1895.3,1847.8,963.3,2779.8,,,,,,
1147,1998,Central Highlands,3922.2,1987.1,1935.1,1037.7,2884.5,,,,,,
1148,1999,Central Highlands,4096.1,2073.9,2022.2,1098.3,2997.8,,,,,,
1149,2000,Central Highlands,4246.4,2149,2097.4,1140.4,3106,,,,,,
1150,2001,Central Highlands,4367.5,2210.4,2157.1,1180.5,3187,,,,,,
1151,2002,Central Highlands,4465.3,2259.9,2205.4,1215.8,3249.5,,,,,,
1152,2003,Central Highlands,4561.2,2286.9,2274.3,1239.7,3321.5,,,,,,
1153,2004,Central Highlands,4664.2,2349.0,2315.2,1267.8,3396.4,,,,,,
1154,2005,Central Highlands,4768.2,2406.9,2361.3,1305.1,3463.1,,101.9,,3.07,23.9,68.7
1155,2006,Central Highlands,4860.9,2454.4,2406.5,1332.9,3528.0,,,,,,
1156,2007,Central Highlands,4948.0,2491.8,2456.2,1364.9,3583.1,,101.4,,2.77,21.5,
1157,2008,Central Highlands,5036.7,2526.5,2510.2,1389.9,3646.8,,100.6,,2.68,21,
1158,2009,Central Highlands,5128.8,2590.7,2538.1,1449.9,3678.9,,102.1,,2.65,21.9,69.1
1159,2010,Central Highlands,5206.33,2629.31,2577.02,1474.46,3731.87,,102.03,,2.63,20.9,69.3
1160,2011,Central Highlands,5278.04,2665.07,2612.97,1497.87,3780.17,96.67,101.99,,2.58,20.4,70
1161,2012,Central Highlands,5358.01,2705.1,2652.91,1522.34,3835.67,98.16,101.97,,2.43,19.5,69.4
1162,2013,Central Highlands,5438.74,2745.52,2693.22,1546.75,3891.99,99.66,101.94,,2.49,19.7,69.5
1163,2014,Central Highlands,5509.2,2780.53,2728.66,1574.47,3934.73,101.0,101.9,,2.3,18.4,69.5
1164,2015,Central Highlands,5584.3,2818.4,2765.9,1596.2,3988.1,103.0,101.9,,2.26,17.3,69.9
1165,2016,Central Highlands,5657.1,2854.5,2802.6,1617.1,4039.9,104.0,101.9,,2.37,18.2,70.1
1166,2017,Central Highlands,5725.5,2888.5,2837,1638.2,4087.3,106.0,101.8,,2.29,17,70.2
1167,2018,Central Highlands,5796.4,2923.7,2872.7,1661,4135.4,108.0,101.8,,2.32,16.9,70.3
1168,2019,Central Highlands,5861.3,2955.8,2905.5,1681.7,4179.6,108.0,101.73,,2.43,18.8,70.3
1169,2020,Central Highlands,5932.11,2990.54,2941.57,1707.32,4224.79,109.0,101.67,,2.41,18.88,71.0
1170,1995,Kon Tum,279.5,140.5,139,63.5,216,,,,,,
1171,1996,Kon Tum,288.3,145,143.3,69.8,218.5,,,,,,
1172,1997,Kon Tum,297.3,149.6,147.7,86.1,211.2,,,,,,
1173,1998,Kon Tum,306.7,154.4,152.3,93.8,212.9,,,,,,
1174,1999,Kon Tum,316.6,159.4,157.2,103.4,213.2,,,,,,
1175,2000,Kon Tum,328.1,165.1,163,105.1,223,,,,,,
1176,2001,Kon Tum,339,170.6,168.4,109.3,229.7,,,,,,
1177,2002,Kon Tum,350.2,176.3,173.9,113.6,236.6,,,,,,
1178,2003,Kon Tum,361.5,181.6,179.9,117.9,243.6,,,,,,
1179,2004,Kon Tum,373.7,187.7,186.0,122.7,251.0,,,,,,
1180,2005,Kon Tum,386.0,193.5,192.5,127.4,258.6,,100.5,,3.94,31.2,
1181,2006,Kon Tum,396.6,199.2,197.4,131.7,264.9,,,,,,
1182,2007,Kon Tum,408.1,205.0,203.1,136.4,271.7,,100.9,,3.49,27.4,
1183,2008,Kon Tum,420.5,209.5,211,141.4,279.1,,99.3,,3.58,27.5,
1184,2009,Kon Tum,431.8,218.7,213.1,144.7,287.1,,102.6,,3.45,28.5,
1185,2010,Kon Tum,442.11,223.71,218.41,147.48,294.63,,102.43,,3.46,27.4,
1186,2011,Kon Tum,451.61,228.34,223.28,149.94,301.67,46.61,102.27,,3.25,25.8,
1187,2012,Kon Tum,462.71,233.76,228.94,152.9,309.81,47.75,102.11,,3.16,25.6,
1188,2013,Kon Tum,473.25,238.91,234.34,155.65,317.6,48.85,101.95,,2.7,21.3,
1189,2014,Kon Tum,484.22,244.26,239.96,158.5,325.71,50.0,101.79,,3.04,25.2,
1190,2015,Kon Tum,495.9,249.9,245.9,161.6,334.3,51.0,101.6,,2.49,19.6,
1191,2016,Kon Tum,507.8,255.8,252,164.7,343.1,52.0,101.5,20.8,2.34,19.1,
1192,2017,Kon Tum,520.1,261.7,258.3,167.8,352.2,54.0,101.3,25.9,2.48,19.4,
1193,2018,Kon Tum,532.4,267.7,264.6,171,361.4,55.0,101.2,26.5,2.12,16,
1194,2019,Kon Tum,543.4,273.1,270.4,173.7,369.7,56.0,101.0,20.8,2.74,21.9,
1195,2020,Kon Tum,555.64,278.96,276.68,181.94,373.71,57.0,100.83,22.4,2.64,21.76,
1196,1995,Gia Lai,850.7,428.9,421.8,191.8,658.9,,,,,,
1197,1996,Gia Lai,881.5,444.8,436.7,202,679.5,,,,,,
1198,1997,Gia Lai,912.8,460.9,451.9,219.9,692.9,,,,,,
1199,1998,Gia Lai,946.1,478.1,468,231.3,714.8,,,,,,
1200,1999,Gia Lai,981.5,495.8,485.7,246.1,735.4,,,,,,
1201,2000,Gia Lai,1026.3,518.2,508.1,262,764.3,,,,,,
1202,2001,Gia Lai,1065.6,538.1,527.5,275.5,790.1,,,,,,
1203,2002,Gia Lai,1092.9,551.8,541.1,286,806.9,,,,,,
1204,2003,Gia Lai,1119.1,556.3,562.8,296.6,822.5,,,,,,
1205,2004,Gia Lai,1147.1,583.8,563.3,307.8,839.3,,,,,,
1206,2005,Gia Lai,1174.6,583.9,590.7,319.1,855.5,,98.8,,3.1,24.6,
1207,2006,Gia Lai,1200.5,611.0,589.5,330.2,870.3,,,,,,
1208,2007,Gia Lai,1225.5,623.7,601.8,341.3,884.2,,103.6,,2.97,23.4,
1209,2008,Gia Lai,1251.3,624.7,626.6,352.9,898.4,,99.7,,2.86,23.2,
1210,2009,Gia Lai,1281,643.2,637.8,366,915,,100.8,,2.88,23.9,
1211,2010,Gia Lai,1308.85,656.99,651.86,374.41,934.44,,100.79,,2.9,23.8,
1212,2011,Gia Lai,1336.1,670.54,665.56,382.73,953.37,85.07,100.75,,2.85,23.2,
1213,2012,Gia Lai,1359.97,682.38,677.58,390.1,969.86,86.28,100.71,,2.36,19.4,
1214,2013,Gia Lai,1382.97,693.79,689.18,397.25,985.73,87.48,100.67,,2.48,20,
1215,2014,Gia Lai,1403.13,703.76,699.36,403.59,999.54,89.0,100.63,,2.27,18.6,
1216,2015,Gia Lai,1426.4,715.3,711.1,410.8,1015.6,90.0,100.6,,2.45,19.7,
1217,2016,Gia Lai,1447.2,725.5,721.6,417.4,1029.7,91.0,100.6,24.3,2.38,18.9,
1218,2017,Gia Lai,1468.9,736.3,732.6,424.3,1044.7,93.0,100.5,25.1,2.36,18.2,
1219,2018,Gia Lai,1495.7,749.6,746.1,432.6,1063.1,94.0,100.5,27.4,2.27,17.5,
1220,2019,Gia Lai,1520.2,761.7,758.4,440.3,1079.9,98.0,100.43,24.1,2.49,19.8,
1221,2020,Gia Lai,1541.83,773.09,768.73,447.21,1094.62,99.0,100.57,23.9,2.47,19.91,
1222,1995,Dak Lak,1398.3,706.6,691.7,257.6,1140.7,,,,,,
1223,1996,Dak Lak,1501.8,757.9,743.9,266.8,1235,,,,,,
1224,1997,Dak Lak,1605.1,816.4,788.7,298.6,1306.5,,,,,,
1225,1998,Dak Lak,1703.1,866.6,836.5,340.5,1362.6,,,,,,
1226,1999,Dak Lak,1793.4,911.7,881.7,359.2,1434.2,,,,,,
1227,2000,Dak Lak,1860.9,945.6,915.3,375.8,1485.1,,,,,,
1228,2001,Dak Lak,1912.2,971.7,940.5,391.5,1520.7,,,,,,
1229,2002,Dak Lak,1954.5,993.2,961.3,406.3,1548.2,,,,,,
1230,2003,Dak Lak,1995.6,1006.2,989.4,409.4,1586.2,,,,,,
1231,2004,Dak Lak,1635.6,825.0,810.6,363.3,1272.3,,,,,,
1232,2005,Dak Lak,1658.5,849.2,809.3,367.2,1291.3,,104.9,,2.98,22.8,
1233,2006,Dak Lak,1677.8,852.7,825.1,371.8,1306.0,,,,,,
1234,2007,Dak Lak,1696.6,855.8,840.8,376.6,1320.0,,101.8,,2.84,21.4,
1235,2008,Dak Lak,1715.1,866,849.1,378.5,1336.6,,102.0,,2.57,19.6,
1236,2009,Dak Lak,1735.7,876.3,859.4,416.4,1319.3,,102.0,,2.45,19.7,
1237,2010,Dak Lak,1748.56,882.65,865.9,420.76,1327.8,,101.93,,2.47,19,
1238,2011,Dak Lak,1760.42,888.53,871.89,424.92,1335.5,134.89,101.91,,2.42,18.4,
1239,2012,Dak Lak,1777.26,896.92,880.34,430.31,1346.95,136.48,101.88,,2.31,18.5,
1240,2013,Dak Lak,1794.56,905.53,889.02,435.84,1358.72,138.11,101.86,,2.7,21.5,
1241,2014,Dak Lak,1805.83,911.11,894.72,439.93,1365.9,140.0,101.83,,2.25,17.9,
1242,2015,Dak Lak,1820.1,918.2,902,444.8,1375.4,141.0,101.8,,2.22,16.8,
1243,2016,Dak Lak,1836.4,926.3,910.1,450.1,1386.3,144.0,101.8,32.5,2.43,18.6,
1244,2017,Dak Lak,1850.3,933.2,917.1,454.9,1395.4,146.0,101.8,33.8,2.19,16.1,
1245,2018,Dak Lak,1861.5,938.7,922.8,459.1,1402.4,147.0,101.7,35.6,2.41,17,
1246,2019,Dak Lak,1872.6,944.2,928.4,463.3,1409.3,144.0,101.7,32.3,2.37,18.1,
1247,2020,Dak Lak,1886.94,952.22,934.72,466.48,1420.46,145.0,101.87,31.7,2.36,18.5,
1248,1995,Dak Nong,..,..,..,..,..,,,,,,
1249,1996,Dak Nong,..,..,..,..,..,,,,,,
1250,1997,Dak Nong,..,..,..,..,..,,,,,,
1251,1998,Dak Nong,..,..,..,..,..,,,,,,
1252,1999,Dak Nong,..,..,..,..,..,,,,,,
1253,2000,Dak Nong,..,..,..,..,..,,,,,,
1254,2001,Dak Nong,..,..,..,..,..,,,,,,
1255,2002,Dak Nong,..,..,..,..,..,,,,,,
1256,2003,Dak Nong,..,..,..,..,..,,,,,,
1257,2004,Dak Nong,403.4,200.1,203.3,51.7,351.7,,,,,,
1258,2005,Dak Nong,423.6,217.3,206.3,61.8,361.8,,105.3,,3.38,26.4,
1259,2006,Dak Nong,440.9,218.7,222.2,63.0,377.9,,,,,,
1260,2007,Dak Nong,457.3,226.8,230.5,69.4,387.9,,98.4,,3.05,24.1,
1261,2008,Dak Nong,474.4,237.2,237.2,71.1,403.3,,100.0,,2.87,22.2,
1262,2009,Dak Nong,491,255.2,235.8,72.4,418.6,,108.2,,2.72,22.8,
1263,2010,Dak Nong,503.32,261.34,241.98,74.46,428.87,,108.0,,2.68,20.7,
1264,2011,Dak Nong,512.67,265.98,246.7,76.09,436.58,79.75,107.81,,2.57,19.6,
1265,2012,Dak Nong,529.37,274.41,254.96,78.83,450.54,82.37,107.63,,2.65,21.5,
1266,2013,Dak Nong,548.1,283.88,264.22,81.9,466.2,85.2,107.44,,2.31,17.7,
1267,2014,Dak Nong,564.96,292.2,272.76,85.16,479.8,88.0,107.12,,2.46,19,
